time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl
1003,119,801.28,156.2117072,242,243712,2650,0.026520609855651855,8.369551424309611,0.2,1.9298977851867676,0.272265625,0.0003,0.511721134185791,-0.006963358467328362,-2.9592913419008253,0.025842087
1003,120,809.63,160.00868773,244,245760,2660,0.9218670129776001,40.700561763346194,0.2,30.066804885864258,0.125732421875,0.0003,0.5123613476753235,-0.011455774566275067,-2.955161651968956,0.010753658
1003,121,805.19,158.35825216,247,247808,2670,0.030090630054473877,14.74710348546505,0.2,4.1784987449646,0.213427734375,0.0003,0.5056463479995728,-0.0113329516898375,-2.935046546906233,0.024662722
1003,122,789.17,150.87487134,249,249856,2680,0.924591600894928,31.96132347807288,0.2,28.130104064941406,0.21181640625,0.0003,0.5029475688934326,-0.011394520031171852,-2.891860552877188,0.021410042
1002,123,788.89,152.00510848,251,251904,2690,0.9338881969451904,24.017373045533894,0.2,10.672127723693848,0.158349609375,0.0003,0.5028426647186279,-0.01283029702026397,-2.8839883632957934,0.011109351
1002,124,784.79,150.15526728999998,253,253952,2700,0.4839542508125305,42.23263212442398,0.2,8.44304084777832,0.201513671875,0.0003,0.5028143525123596,-0.009633686745655724,-2.8854084469377996,0.014897509
1002,125,799.44,155.25788821,255,256000,2710,0.8454481363296509,19.1322115495801,0.2,10.368271827697754,0.227197265625,0.0003,0.5027406215667725,-0.010570333618670703,-2.880472644418478,0.02387357
1002,126,801.2,155.37062538,257,258048,2720,0.907595157623291,16.919688285514713,0.2,4.230494976043701,0.258984375,0.0003,0.5045081377029419,-0.011590353815699927,-2.8843668952584265,0.021778371
1002,127,804.55,157.24887212000002,259,260096,2730,0.8530293703079224,34.82155587971211,0.2,14.816994667053223,0.243505859375,0.0003,0.5037993788719177,-0.008451864164089783,-2.8860620193183424,0.018817097
1002,128,804.34,157.22754775,261,262144,2740,0.9824495315551758,1.4344831241760403,0.2,0.20462143421173096,0.346923828125,0.0003,0.4980303645133972,-0.012981740914983674,-2.856354434043169,0.03077692
1002,129,813.97,161.03795458000002,263,264192,2750,0.05163758993148804,7.1297644101083275,0.2,0.8393372893333435,0.28662109375,0.0003,0.5011703968048096,-0.004835902470222209,-2.853451658040285,0.024794014
1002,130,813.55,160.95150416,265,266240,2760,0.5683127641677856,5.225802131555975,0.2,0.7527821063995361,0.256494140625,0.0003,0.5044942498207092,-0.008309578915941529,-2.8723800860345365,0.017926872
1002,131,812.32,160.98580386,267,268288,2770,0.8539676666259766,10.254272203706204,0.2,1.324599266052246,0.17978515625,0.0003,0.5045962333679199,-0.007266832153254655,-2.887036267668009,0.017274853
1002,132,820.99,165.16082425000002,269,270336,2780,0.882745623588562,8.9832907281816,0.2,5.759332656860352,0.213818359375,0.0003,0.5038361549377441,-0.009610270723351277,-2.885710172355175,0.014016372
