#{"t_start": 1760833005.378652, "env_id": "BipedalWalker-v3"}
r,l,t
256.83776,966,1878.965783
262.865041,902,1879.437964
258.291765,931,1879.924655
96.366669,728,1892.861643
262.504229,902,1893.342241
-32.554473,371,1893.540793
264.28564,887,1894.010753
-66.129599,201,1894.120935
262.368727,897,1907.155611
260.452659,921,1907.643963
262.825429,908,1908.122896
267.771379,867,1908.577778
-48.354233,257,1908.715537
250.851368,1009,1921.843037
-128.775828,134,1921.91257
254.379743,975,1922.425694
252.891475,996,1922.941114
247.866139,1045,1923.487845
-126.5584,47,1936.159334
-126.227978,47,1936.185552
-126.22263,47,1936.211444
-126.228384,47,1936.237326
-126.23519,47,1936.263587
-86.399171,234,1949.220783
-69.565297,214,1949.335425
28.921688,558,1949.635053
262.430123,898,1950.106076
266.882146,873,1950.562218
30.964787,480,1963.219991
263.444068,888,1963.695519
266.718439,868,1964.149045
-55.093891,266,1964.290402
266.985649,864,1964.738198
267.116074,871,1977.747093
266.364608,873,1978.226891
-13.002509,339,1978.405559
268.184585,864,1978.856297
261.153749,915,1979.332633
264.271607,894,1992.220267
264.055222,892,1992.700498
53.093914,632,1993.036298
266.713587,864,1993.502169
267.068272,867,1993.962963
267.128446,873,2006.950862
-85.2553,204,2007.077778
263.274192,903,2007.554674
-85.834125,207,2007.664809
266.284526,878,2008.129799
-127.707979,47,2020.891817
-126.950415,47,2020.918148
-127.013414,47,2020.94469
-127.219322,47,2020.971205
-128.084859,47,2020.997675
265.687457,890,2034.280805
264.823394,882,2034.74926
265.164625,889,2035.219692
267.940239,862,2035.692286
264.987182,881,2036.154997
266.062406,871,2049.415162
-34.798773,292,2049.576585
266.480369,876,2050.050778
265.848774,866,2050.523639
-75.761089,228,2050.648117
271.538497,837,2063.798455
-87.780283,152,2063.895455
262.921766,904,2064.370555
-105.262853,120,2064.434858
266.960821,867,2064.8974
-70.819655,211,2077.693983
-78.826957,137,2077.769988
65.893672,602,2078.104402
-78.175707,187,2078.21836
-80.117107,238,2078.347197
265.923542,872,2091.496742
266.031191,863,2091.965708
86.83793,754,2092.368173
260.74444,912,2092.857507
143.001369,870,2093.322989
267.174923,874,2106.383145
63.706893,635,2106.72269
268.695843,862,2107.179822
271.759344,837,2107.620858
-76.469031,245,2107.757158
269.360539,853,2120.999683
265.194811,852,2121.460735
270.847441,834,2121.907458
263.734057,898,2122.385758
265.728498,880,2122.855283
266.373596,872,2135.949376
267.878591,861,2136.406818
268.49061,846,2136.848452
268.362803,838,2137.286143
268.616918,846,2137.729689
102.253269,702,2150.862232
-110.461053,152,2150.946555
264.197289,890,2151.431791
-76.552777,319,2151.598632
-53.072767,247,2151.729671
99.364596,668,2164.611271
-68.591246,272,2164.759092
-32.668573,397,2164.973427
-91.568921,217,2165.088069
-67.369299,237,2165.214869
272.421769,819,2178.296435
-46.310886,265,2178.460351
-77.140697,228,2178.581833
130.725043,779,2178.990574
127.983909,740,2179.377846
-55.619542,256,2192.001809
-104.359075,128,2192.070781
269.254982,847,2192.522006
-43.794456,301,2192.683139
-79.219888,187,2192.785651
268.209533,850,2205.8018
273.905536,812,2206.263124
272.43156,818,2206.700507
270.857771,831,2207.146055
271.878142,819,2207.582083
268.593718,828,2220.710632
272.311207,828,2221.161465
272.723086,820,2221.593647
268.397671,852,2222.041601
86.106678,715,2222.419881
271.337431,826,2235.504231
106.242046,706,2235.895052
-45.255259,242,2236.023739
-72.778092,175,2236.118012
-25.77279,362,2236.310034
273.014873,804,2249.574321
-19.162303,390,2249.796932
-51.960841,278,2249.944626
-17.18326,351,2250.129947
142.23681,751,2250.524368
270.122332,832,2263.575192
-84.313035,199,2263.683524
-91.545266,170,2263.77471
103.616519,736,2264.162229
-100.546637,141,2264.237788
266.746394,857,2277.326611
-70.289743,218,2277.45578
268.617004,842,2277.9046
264.838867,867,2278.358704
-21.041061,420,2278.585639
273.178434,813,2291.681105
265.605612,874,2292.160003
269.36809,837,2292.607455
267.385939,851,2293.063306
41.152185,643,2293.407554
269.43287,848,2306.583009
-30.745731,368,2306.7877
268.438074,845,2307.247391
95.374269,686,2307.610989
80.573303,626,2307.955674
266.465012,879,2321.017787
140.719994,860,2321.467535
269.992739,841,2321.913033
268.570801,858,2322.363278
266.100509,875,2322.824191
-19.706389,384,2335.604886
-14.671041,350,2335.790136
264.535016,893,2336.280044
-50.142304,335,2336.45596
268.286828,859,2336.907203
261.197775,863,2349.992487
-8.530459,391,2350.201392
269.483432,842,2350.673106
270.773929,827,2351.154654
269.854421,839,2351.635963
272.189798,826,2364.90205
269.731816,843,2365.357032
96.259692,709,2365.729867
-47.855482,246,2365.861991
268.614304,851,2366.309037
268.832237,850,2379.415421
267.434016,857,2379.874344
270.225322,839,2380.322891
-34.844384,317,2380.491946
-80.884565,184,2380.590939
271.676231,825,2393.572384
-73.340517,166,2393.663559
-36.37193,328,2393.835501
144.494916,774,2394.24092
-95.838379,153,2394.32191
269.821381,833,2407.504277
63.006892,569,2407.817996
272.105842,831,2408.263229
56.181858,606,2408.583995
269.143707,849,2409.032173
-73.103379,196,2421.940952
272.186271,823,2422.380216
-82.762435,149,2422.460863
272.195942,818,2422.890786
264.067733,883,2423.357693
43.791558,609,2436.442176
-84.429084,169,2436.53654
270.767064,830,2436.986806
-56.480548,242,2437.119041
265.461823,868,2437.579922
-90.328751,166,2450.361479
269.863461,842,2450.834346
-20.490357,357,2451.034117
-85.576997,135,2451.107458
268.22756,860,2451.55731
270.154079,842,2464.823128
270.76173,838,2465.270925
269.070838,847,2465.71246
270.234478,841,2466.153703
-73.695494,204,2466.261572
271.788656,828,2479.101521
271.635476,829,2479.56827
21.027447,523,2479.844772
270.839973,836,2480.286656
272.349837,824,2480.720725
271.129368,837,2493.790191
272.620818,813,2494.220036
266.806725,868,2494.675036
273.665508,804,2495.100312
31.967289,488,2495.359101
