time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
66,677,199,1158.46,135168,-14.67213946,-5.657006371021271,650,0.06342062928015366,0.2,0.007976033,-0.011384898514370434,0.0673828125,3e-05,0.5186460018157959,0.9952819347381592,-0.07030506432056427,,
67,679,202,1152.03,137216,-14.30196141,-5.657288736104965,660,0.06417089658789336,0.2,0.00872542,-0.013753111778351012,0.08212890625,3e-05,0.8508147597312927,0.995680570602417,-0.045147381722927094,,
68,681,204,1152.03,139264,-10.56143368,-5.660320848226547,670,0.07281582877621987,0.2,0.0068834396,-0.009026755137892906,0.06142578125,3e-05,0.9072918891906738,0.9967992305755615,-0.07437971979379654,,
,,,,140000,,-5.661069044470787,680,0.041072925535263496,0.2,0.005767442,-0.007498689281055704,0.04150390625,3e-05,0.6137415170669556,0.9959284663200378,-0.06885277479887009,1600.0,177.02187840000002
69,669,211,1152.03,141312,-8.61233979,,,,,,,,,,,,,
70,671,213,1152.03,143360,-6.6448314900000005,-5.657160094380378,690,0.0229131767177023,0.2,0.0077305892,-0.011850751450401731,0.078515625,3e-05,0.7180214524269104,0.9949761629104614,-0.07298262417316437,,
71,673,215,1152.03,145408,-4.557449859999999,-5.654221761226654,700,0.02198995596845634,0.2,0.0072169453,-0.011837457021465525,0.080029296875,3e-05,0.8008023500442505,0.9944057464599609,-0.024872172623872757,,
72,675,218,1167.36,147456,-0.25950382999999916,-5.650428971648216,710,0.023237474387860856,0.2,0.007829426,-0.011946260722470469,0.07197265625,3e-05,0.8447052240371704,0.9932657480239868,-0.06688180565834045,,
73,677,220,1167.36,149504,1.8093769000000006,-5.647788608074189,720,0.023183519765734673,0.2,0.0054887133,-0.008930173133558128,0.044482421875,3e-05,0.8310333490371704,0.9930182099342346,-0.05251382291316986,,
,,,,150000,,-5.643710802495479,730,0.02152084100525826,0.2,0.0068322048,-0.012347293374477885,0.066064453125,3e-05,0.8067945837974548,0.9912735819816589,-0.062162451446056366,832.2,5.891204800000004
74,672,225,1151.97,151552,3.5136198100000002,,,,,,,,,,,,,
75,674,227,1151.97,153600,5.6437446,-5.641221582889557,740,0.049728492385474964,0.2,0.008050658,-0.012748370628105476,0.0669921875,3e-05,0.8646798729896545,0.9917174577713013,-0.06812570244073868,,
76,676,230,1164.04,155648,8.9575237,-5.641795292496681,750,0.042983406531857324,0.2,0.0077845855,-0.011651702527888119,0.055810546875,3e-05,0.5042117834091187,0.9916174411773682,-0.05677345395088196,,
